autor,titulo,top_10_palabras
Aristoteles,"Moral a Nicómaco · libro cuarto, capítulo VIII","[{'hay': 3, 'tienen': 3, 'trato': 2, 'debe': 2, 'oír': 2, 'demás': 2, 'agradable': 2, 'esto': 2, 'puede': 2, 'cosas': 2}, {'hombre': 7, 'puede': 3, 'nada': 2, 'hay': 2, 'gracia': 2, 'tacto': 2, 'libre': 2, 'escuchar': 2, 'parece': 2, 'embargo': 1}, {'género': 3, 'debe': 3, 'hombre': 3, 'porque': 3, 'gracia': 2, 'libre': 2, 'escucha': 2, 'posible': 1, 'trazar': 1, 'límites': 1}, {'hombre': 3, 'tal': 1, 'género': 1, 'hablamos': 1, 'ocupa': 1, 'delicado': 1, 'medio': 1, 'llámesele': 1, 'tacto': 1, 'tono': 1}, {'placer': 4, 'relaciones': 3, 'demás': 2, 'hombre': 2, 'sociales': 2, 'dos': 2, 'cuanto': 1, 'gracioso': 1, 'maligno': 1, 'puede': 1}]"
Aristoteles,"Moral a Nicómaco · libro cuarto, capítulo IX","[{'puede': 2, 'vergüenza': 2, 'cualidad': 2, 'miedo': 2, 'son': 2, 'hablarse': 1, 'pudor': 1, 'fuera': 1, 'virtud': 1, 'parecer': 1}, {'hombre': 5, 'pudor': 4, 'puede': 4, 'sólo': 4, 'esta': 3, 'vergüenza': 3, 'sean': 3, 'avergonzarse': 3, 'afección': 2, 'tiene': 2}, {'ahora': 1, 'hablemos': 1, 'justicia': 1}]"
Aristoteles,"Moral a Nicómaco · libro quinto, capítulo primero","[{'justicia': 2, 'medio': 2, 'estudiar': 1, 'injusticia': 1, 'preciso': 1, 'considerar': 1, 'cosas': 1, 'acciones': 1, 'aplican': 1, 'especie': 1}, {'disposición': 6, 'cualidad': 5, 'cosas': 5, 'buena': 5, 'misma': 4, 'contraria': 4, 'justicia': 3, 'puede': 3, 'sucede': 3, 'hombre': 3}, {'veamos': 1, 'pues': 1, 'cuántos': 1, 'sentidos': 1, 'puede': 1, 'hombre': 1, 'injusto': 1}, {'bienes': 4, 'será': 3, 'leyes': 2, 'justo': 2, 'injusto': 2, 'igualmente': 2, 'son': 2, 'siempre': 2, 'particular': 2, 'ellos': 2}, {'actos': 6, 'todos': 5, 'leyes': 4, 'son': 4, 'cosas': 3, 'sólo': 3, 'viola': 3, 'todas': 3, 'interés': 3, 'ley': 3}, {'virtud': 2, 'justicia': 1, 'entendida': 1, 'esta': 1, 'manera': 1, 'completa': 1, 'absoluta': 1, 'puramente': 1, 'individual': 1, 'relativa': 1}, {'todas': 1, 'virtudes': 1, 'encuentran': 1, 'seno': 1, 'justicia': 1}, {'virtud': 10, 'demás': 8, 'misma': 4, 'relación': 4, 'sí': 4, 'justicia': 4, 'completa': 3, 'porque': 3, 'ser': 3, 'puede': 2}]"
Aristoteles,"Moral a Nicómaco · libro quinto, capítulo II","[{'virtud': 2, 'vicio': 2, 'sea': 1, 'quiera': 1, 'nosotros': 1, 'estudiamos': 1, 'justicia': 1, 'puede': 1, 'considerar': 1, 'especial': 1}, {'ha': 4, 'puede': 2, 'codicia': 2, 'le': 2, 'corresponde': 2, 'hombre': 2, 'cometido': 2, 'comete': 1, 'bajo': 1, 'demás': 1}, {'injusticia': 5, 'ha': 4, 'puede': 3, 'hombre': 3, 'hay': 2, 'especial': 2, 'adulterio': 2, 'sólo': 2, 'mira': 2, 'lucro': 2}, {'resulta': 2, 'injusticia': 2, 'general': 2, 'otra': 2, 'igualmente': 2, 'relación': 2, 'aquí': 1, 'evidentemente': 1, 'además': 1, 'entera': 1}, {'justicia': 2, 'virtud': 2, 've': 1, 'hay': 1, 'muchas': 1, 'especies': 1, 'conviene': 1, 'distinguir': 1, 'especial': 1, 'tomada': 1}, {'injusticia': 4, 'son': 4, 'desigualdad': 3, 'desigual': 3, 'ha': 2, 'injusto': 2, 'consiguiente': 2, 'justicia': 2, 'definido': 1, 'diciendo': 1}, {'virtud': 5, 'esta': 4, 'ser': 3, 'ley': 3, 'justicia': 2, 'injusticia': 2, 'vista': 2, 'justo': 2, 'injusto': 2, 'entera': 2}, {'relaciones': 5, 'justicia': 3, 'todas': 3, 'primera': 2, 'especie': 2, 'pueden': 2, 'porque': 2, 'puede': 2, 'entre': 2, 'civiles': 2}]"
Aristoteles,"Moral a Nicómaco · libro quinto, capítulo III","[{'justo': 8, 'medio': 7, 'igualdad': 7, 'personas': 7, 'cosas': 6, 'iguales': 6, 'menos': 5, 'dos': 4, 'son': 4, 'desigual': 3}, {'proporción': 5, 'términos': 4, 'cuatro': 3, 'dos': 3, 'b': 3, 'número': 2, 'menos': 2, 'esta': 2, 'repite': 2, 'veces': 2}, {'proporción': 7, 'términos': 6, 'justo': 5, 'total': 5, 'mal': 5, 'porque': 4, 'dos': 4, 'esta': 4, 'menos': 3, 'relación': 3}, {'tal': 1, 'pues': 1, 'dos': 1, 'especies': 1, 'pueden': 1, 'distinguir': 1, 'justo100': 1}]"
Aristoteles,"Moral a Nicómaco · libro quinto, capítulo IV","[{'justo': 3, 'relación': 2, 'proporción': 2, 'sería': 2, 'esta': 2, 'otra': 1, 'especie': 1, 'justicia': 1, 'reparadora': 1, 'represiva': 1}, {'ha': 11, 'provecho': 7, 'pérdida': 6, 'hombre': 4, 'sólo': 4, 'justo': 3, 'haya': 3, 'oscuro': 3, 'sido': 3, 'daño': 3}, {'juez': 8, 'medio': 4, 'partes': 4, 'justo': 4, 'dos': 4, 'justicia': 3, 'igual': 3, 'he': 2, 'aquí': 2, 'busca': 2}, {'cantidad': 5, 'mitad': 4, 'excede': 4, 'dos': 3, 'quitar': 3, 'preciso': 3, 'tiene': 3, 'iguales': 2, 'otra': 2, 'primera': 2}, {}, {'cierta': 3, 'artes': 2, 'medida': 2, 'manera': 2, 'podría': 1, 'decirse': 1, 'todas': 1, 'demás': 1, 'sucede': 1, 'aquí': 1}, {'tiene': 4, 'ha': 3, 'ni': 3, 'provecho': 2, 'pérdida': 2, 'han': 2, 'transacciones': 2, 'tenía': 2, 'dice': 2, 'menos': 2}, {'resumen': 1, 'justo': 1, 'medio': 1, 'exacto': 1, 'entre': 1, 'cierto': 1, 'provecho': 1, 'cierta': 1, 'pérdida': 1, 'transacciones': 1}]"
Aristoteles,"Moral a Nicómaco · libro quinto, capítulo V","[{'talión': 3, 'justicia': 3, 'justo': 2, 'ni': 2, 'reciprocidad': 1, 'parece': 1, 'algunos': 1, 'ser': 1, 'absoluto': 1, 'doctrina': 1}, {'sufrir': 1, 'ha': 1, 'hecho': 1, 'he': 1, 'aquí': 1, 'verdadera': 1, 'justicia': 1}, {'ha': 6, 'servicios': 4, 'volver': 4, 'esta': 3, 'ciudadanos': 3, 'reciprocidad': 3, 'sociedad': 3, 'mal': 3, 'magistrado': 2, 'debe': 2}, {'entre': 6, 'hay': 5, 'servicios': 3, 'zapatero': 3, 'obra': 3, 'manera': 3, 'relaciones': 3, 'puede': 2, 'esta': 2, 'reciprocidad': 2}, {'cambio': 4, 'moneda': 4, 'valor': 4, 'esta': 4, 'preciso': 3, 'cosas': 3, 'entre': 3, 'necesidad': 3, 'zapatos': 3, 'ni': 3}, {'hay': 6, 'cosas': 6, 'cambio': 6, 'porque': 5, 'necesidad': 5, 'moneda': 5, 'cinco': 5, 'relación': 4, 'entre': 4, 'puede': 4}, {'entre': 4, 'justo': 3, 'justicia': 3, 'medio': 3, 'injusticia': 3, 've': 2, 'personal': 2, 'tiene': 2, 'menos': 2, 'sabe': 2}, {'injusto': 4, 'exceso': 4, 'defecto': 4, 'injusticia': 3, 'menos': 2, 'puede': 2, 'nunca': 2, 'proporción': 2, 'relación': 2, 'porque': 2}, {'tales': 1, 'son': 1, 'consideraciones': 1, 'quería': 1, 'presentar': 1, 'justicia': 1, 'injusticia': 1, 'naturaleza': 1, 'ellas': 1, 'consiguiente': 1}]"
Aristoteles,"Moral a Nicómaco · libro quinto, capítulo VI","[{'injusticia': 2, 'crimen': 2, 'injusto': 2, 'criminal': 2, 'puede': 2, 'hombre': 2, 'ladrón': 2, 'adúltero': 2, 'ninguna': 2, 'ha': 2}, {'justicia': 7, 'hay': 7, 'justo': 5, 'bienes': 3, 'menos': 3, 'donde': 3, 'injusticia': 3, 'sí': 3, 'poder': 3, 'individuo': 3}, {'justicia': 6, 'respecto': 5, 'padre': 3, 'propiedad': 3, 'injusticia': 3, 'política': 3, 'dueño': 2, 'son': 2, 'aquí': 2, 'ni': 2}]"
Aristoteles,"Moral a Nicómaco · libro quinto, capítulo VII","[{'puede': 3, 'ley': 3, 'natural': 2, 'puramente': 2, 'legal': 2, 'todas': 2, 'ser': 2, 'modo': 2, 'prescribe': 2, 'justicia': 1}, {'son': 10, 'injusto': 6, 'justicia': 5, 'todas': 5, 'embargo': 5, 'acto': 5, 'hay': 4, 'partes': 4, 'legal': 4, 'justo': 4}, {'adelante': 1, 'habremos': 1, 'estudiar': 1, 'estos': 1, 'géneros': 1, 'naturaleza': 1, 'número': 1, 'especies': 1, 'objetos': 1, 'refieren': 1}]"
Aristoteles,"Moral a Nicómaco · libro quinto, capítulo VIII","[{'ni': 7, 'acto': 6, 'sólo': 4, 'hace': 4, 'injusto': 4, 'justo': 3, 'caso': 3, 'voluntario': 3, 'involuntario': 3, 'causa': 3}, {'accidente': 2, 'depósito': 2, 'contra': 2, 'voluntad': 2, 'decirse': 2, 'ni': 2, 'acciones': 1, 'justas': 1, 'e': 1, 'injustas': 1}, {'ha': 7, 'ni': 6, 'son': 4, 'obra': 4, 'esta': 4, 'porque': 4, 'acciones': 3, 'elección': 3, 'hombre': 3, 'causa': 3}, {'son': 4, 'justo': 3, 'faltas': 3, 'cometen': 3, 'comete': 2, 'verdaderamente': 2, 'acción': 2, 'contra': 2, 'respecto': 2, 'hombre': 2}]"
Aristoteles,"Moral a Nicómaco · libro quinto, capítulo IX","[{'podría': 1, 'preguntarse': 1, 'hemos': 1, 'definido': 1, 'exactamente': 1, 'sufrir': 1, 'cometer': 1, 'injusticia': 1, 'ante': 1, 'comprendió': 1}, {'yo': 3, 'ha': 2, 'ella': 2, 'soy': 1, 'inmolado': 1, 'mi': 1, 'madre': 1, 'digo': 1, 'quisimos': 1, 'sí': 1}, {'injusticia': 6, 'justicia': 5, 'siempre': 4, 'voluntad': 3, 'sufre': 3, 'voluntaria': 3, 'posible': 2, 'comete': 2, 'puede': 2, 'voluntario': 2}, {'injusticia': 8, 'justicia': 4, 'cosa': 3, 'sufrir': 3, 'hacerse': 2, 'hace': 2, 'puede': 2, 'porque': 2, 'misma': 2, 'actos': 2}, {'voluntariamente': 8, 'injusticia': 5, 'puede': 5, 'intemperante': 4, 'voluntad': 4, 'culpable': 3, 'contra': 3, 'sí': 3, 'daño': 3, 'esta': 3}, {'experimenta': 1, 'injusticia': 1, 'daño': 1, 'porque': 1, 'done': 1, 'inconsideradamente': 1, 'propios': 1, 'bienes': 1, 'homero': 1, 'dice': 1}, {'oro': 1, 'bronce': 1, 'cien': 1, 'bueyes': 1, 'nueve': 1}, {'depende': 2, 'caso': 1, 'donar': 1, 'sólo': 1, 'dona': 1, 'sufrir': 1, 'injusticia': 1, 'aquel': 1, 'sufre': 1, 'sino': 1}, {'resumen': 1, 'resulta': 1, 'jamás': 1, 'experimenta': 1, 'voluntariamente': 1, 'injusticia': 1, '144': 1}, {'da': 4, 'daño': 3, 'sí': 3, 'voluntad': 3, 'injusticia': 3, 'hombre': 3, 'esta': 3, 'saber': 2, 'tiene': 2, 'razón': 2}, {'puede': 4, 'juez': 4, 'ha': 4, 'injusto': 3, 'sentido': 2, 'cosas': 2, 'hace': 2, 'sentencia': 2, 'inicua': 2, 'ser': 2}, {'cosa': 4, 'fácil': 3, 'actos': 3, 'conocer': 3, 'depende': 2, 'sólo': 2, 'nosotros': 2, 'difícil': 2, 'prescripciones': 2, 'materia': 2}, {'podría': 4, 'ser': 3, 'todas': 3, 'estas': 3, 'resultado': 2, 'menos': 2, 'hombre': 2, 'justo': 2, 'encontrar': 2, 'sólo': 2}, {'bienes': 4, 'hay': 4, 'estos': 4, 'seres': 3, 'exceso': 2, 'otros': 2, 'quienes': 2, 'justicia': 1, 'tiene': 1, 'verdadera': 1}]"
Aristoteles,"Moral a Nicómaco · libro quinto, capítulo X","[{'justo': 12, 'equitativo': 10, 'son': 7, 'ley': 7, 'todas': 4, 'general': 4, 'mejor': 4, 'está': 4, 'equidad': 3, 'justicia': 3}, {'ley': 5, 'justo': 3, 'equitativo': 2, 'ciertas': 2, 'ha': 2, 'cosas': 2, 'decreto': 2, 'especial': 2, 'acomoda': 2, 'vale': 1}, {'equitativo': 4, 'justo': 2, 'hombre': 2, 'esta': 2, 'virtud': 2, 'justicia': 2, 've': 1, 'pues': 1, 'claramente': 1, 'clase': 1}]"
Aristoteles,"Moral a Nicómaco · libro quinto, capítulo XI","[{'injusticia': 10, 'hace': 7, 'injusto': 7, 'puede': 6, 'culpable': 6, 'voluntariamente': 6, 'ser': 5, 'consigo': 5, 'ley': 5, 'nadie': 5}, {'injusticia': 4, 'perversidad': 3, 'menos': 2, 'cometer': 2, 'evidente': 1, 'son': 1, 'dos': 1, 'cosas': 1, 'malas': 1, 'sufrir': 1}, {'injusticia': 3, 'manos': 2, 'indirectamente': 2, 'ser': 2, 'mal': 2, 'mayor': 2, 'ciencia': 2, 'ejemplo': 2, 'contrario': 1, 'sufre': 1}, {'justicia': 5, 'puede': 3, 'ciertas': 3, 'partes': 3, 'alma': 3, 'sólo': 2, 'hay': 2, 'consigo': 2, 'esta': 2, 'respecto': 2}, {'he': 1, 'aquí': 1, 'teníamos': 1, 'relativamente': 1, 'justicia': 1, 'otras': 1, 'virtudes': 1, 'morales': 1}]"
Aristoteles,"Moral a Nicómaco · libro sexto, capítulo primero","[{'todas': 3, 'hemos': 2, 'preciso': 2, 'medio': 2, 'exceso': 2, 'defecto': 2, 'recta': 2, 'razón': 2, 'medios': 2, 'dejado': 1}, {'preciso': 3, 'razón': 3, 'esta': 2, 'ni': 2, 'recta': 2, 'debe': 2, 'duda': 1, 'toda': 1, 'teoría': 1, 'exacta': 1}, {'virtudes': 4, 'hemos': 2, 'alma': 2, 'otras': 2, 'dividido': 1, 'diciendo': 1, 'unas': 1, 'son': 1, 'corazón': 1, 'espíritu': 1}, {'alma': 5, 'cosas': 5, 'partes': 4, 'son': 4, 'dos': 3, 'otra': 3, 'estas': 3, 'dotada': 2, 'razón': 2, 'manera': 2}, {'virtud': 2, 'veamos': 1, 'pues': 1, 'relación': 1, 'estas': 1, 'dos': 1, 'partes': 1, 'subdivididas': 1, 'cuál': 1, 'mejor': 1}, {'instinto': 5, 'hombre': 3, 'principios': 2, 'acción': 2, 'estos': 2, 'sensación': 2, 'entendimiento': 2, 'reflexiva': 2, 'tienen': 2, 'esta': 2}, {'tales': 1, 'son': 1, 'precisamente': 1, 'práctica': 1, 'inteligencia': 1, 'verdad': 1}, {'inteligencia': 4, 'ni': 3, 'alma': 3, 'preferencia': 3, 'práctica': 2, 'son': 2, 'verdad': 2, 'acto': 2, 'fin': 2, 'instinto': 2}, {'inteligencia': 4, 'hace': 4, 'cosa': 4, 'fin': 4, 'esta': 3, 'misma': 2, 'otra': 2, 'porque': 2, 'precisamente': 2, 'instinto': 2}, {'ha': 4, 'pasado': 3, 'cosa': 1, 'hecha': 1, 'puede': 1, 'ser': 1, 'nunca': 1, 'objeto': 1, 'preferencia': 1, 'moral': 1}, {'punto': 1, 'ni': 1, 'dios': 1, 'tiene': 1, 'libertad': 1, 'fue': 1, 'necesariamente': 1, 'ha': 1, 'sido': 1}, {'verdad': 2, 'objeto': 1, 'igualmente': 1, 'dos': 1, 'partes': 1, 'inteligentes': 1, 'alma': 1, 'disposiciones': 1, 'morales': 1, 'obligan': 1}]"
Aristoteles,"Moral a Nicómaco · libro sexto, capítulo II","[{'tratar': 1, 'nuevo': 1, 'estas': 1, 'materias': 1, 'tomemos': 1, 'cosas': 1, 'desde': 1, 'arriba': 1}, {'admitamos': 1, 'pronto': 1, 'medios': 1, 'cuyo': 1, 'auxilio': 1, 'alcanza': 1, 'alma': 1, 'verdad': 1, 'afirme': 1, 'niegue': 1}, {'ciencia': 6, 'ser': 4, 'cosas': 4, 'toda': 4, 'son': 4, 'principios': 4, 'silogismo': 4, 'puede': 3, 'manera': 3, 'inducción': 3}, {'he': 1, 'aquí': 1, 'opinión': 1, 'debe': 1, 'entenderse': 1, 'ciencia': 1}]"
Aristoteles,"Moral a Nicómaco · libro sexto, capítulo III","[{'arte': 10, 'producción': 8, 'cosas': 7, 'otra': 6, 'acción': 6, 'razón': 5, 'auxiliada': 4, 'nos': 3, 'hace': 3, 'facultad': 3}, {'fortuna': 2, 'arte': 2, 'ama': 1}, {'arte': 2, 'facultad': 2, 'producir': 2, 'razón': 2, 'consiguiente': 1, 'cierta': 1, 'dirigida': 1, 'verdadera': 1, 'mientras': 1, 'defecto': 1}]"
Aristoteles,"Moral a Nicómaco · libro sexto, capítulo IV","[{'cosas': 9, 'ser': 7, 'puede': 5, 'son': 5, 'pertenece': 5, 'hombre': 4, 'objeto': 4, 'acción': 4, 'prudencia': 3, 'ella': 3}, {'prudencia': 10, 'esta': 4, 'principio': 4, 'ser': 4, 'nos': 3, 'porque': 3, 'hombres': 3, 'manera': 3, 'tiene': 3, 'moral': 3}]"
Aristoteles,"Moral a Nicómaco · libro sexto, capítulo V","[{'ciencia': 8, 'pueden': 6, 'ser': 5, 'cosas': 4, 'principios': 4, 'prudencia': 4, 'son': 4, 'porque': 3, 'ni': 3, 'otra': 3}, {'hábiles': 3, 'sabia': 2, 'habilidad': 2, 'artes': 2, 'hábil': 2, 'cuanto': 1, 'manifiesta': 1, 'nosotros': 1, 'sólo': 1, 'suponemos': 1}, {'hábil': 2, 'dioses': 1, 'han': 1, 'hecho': 1, 'labrador': 1, 'ni': 1, 'tampoco': 1, 'hombre': 1, 'rico': 1, 'recursos': 1}, {'cosas': 4, 'siempre': 4, 'todas': 3, 'hombre': 3, 'sabio': 3, 'ciencia': 3, 'variar': 3, 'sabiduría': 2, 'debe': 2, 'saber': 2}, {'sabiduría': 4, 'seres': 4, 'todos': 2, 'hombre': 2, 'demás': 1, 'evidente': 1, 'política': 1, 'pueden': 1, 'confundirse': 1, 'entiende': 1}, {'cosas': 5, 'porque': 3, 'son': 3, 'les': 2, 'sabios': 2, 'sólo': 2, 'general': 2, 'prudencia': 2, 'hombre': 2, 'objeto': 2}, {'son': 4, 'porque': 3, 'viandas': 3, 'ligeras': 3, 'prudencia': 2, 'sepa': 2, 'práctica': 2, 'pormenor': 2, 'saben': 2, 'entre': 2}]"
Aristoteles,"Moral a Nicómaco · libro sexto, capítulo VI","[{'ciencia': 5, 'política': 5, 'prudencia': 5, 'sólo': 3, 'estado': 3, 'otra': 3, 'son': 2, 'misma': 2, 'manera': 2, 'debe': 2}, {'yo': 2, 'era': 1, 'prudente': 1, 'pude': 1, 'vivir': 1, 'tan': 1, 'gozar': 1, 'sabio': 1, 'oscurecido': 1, 'entre': 1}, {'puede': 7, 'sólo': 4, 'esta': 3, 'experiencia': 3, 'podría': 3, 'mientras': 3, 'prudentes': 2, 'nace': 2, 'propios': 2, 'esto': 2}, {'prudencia': 5, 'sensación': 4, 'término': 3, 'ciencia': 2, 'porque': 2, 'sólo': 2, 'inferior': 2, 'último': 2, 'entendimiento': 2, 'aplica': 2}]"
Aristoteles,"Moral a Nicómaco · libro sexto, capítulo VII","[{'examinar': 2, 'deliberar': 2, 'deben': 1, 'confundirse': 1, 'estas': 1, 'dos': 1, 'cosas': 1, 'sea': 1, 'cierta': 1, 'manera': 1}, {'deliberación': 10, 'sabia': 7, 'delibera': 6, 'espíritu': 4, 'opinión': 4, 'ciencia': 3, 'sea': 3, 'tampoco': 3, 'puede': 3, 'feliz': 3}, {'deliberación': 7, 'medio': 4, 'sabia': 4, 'rectitud': 3, 'puede': 2, 'tomarse': 2, 'encontrar': 2, 'razonamiento': 2, 'consiguiente': 2, 'siempre': 2}, {'sabia': 4, 'fin': 4, 'deliberación': 3, 'rectitud': 2, 'nos': 2, 'objeto': 2, 'debemos': 2, 'manera': 2, 'particular': 2, 'respecto': 1}]"
Aristoteles,"Moral a Nicómaco · libro sexto, capítulo VIII","[{'cosas': 9, 'inteligencia': 6, 'ni': 4, 'hombres': 3, 'inteligentes': 3, 'porque': 3, 'tampoco': 3, 'prudencia': 3, 'deben': 2, 'comprender': 2}, {'inteligencia': 5, 'juzgarlas': 3, 'nombre': 3, 'consiste': 2, 'prudencia': 2, 'aprende': 2, 'cosas': 2, 'convenientemente': 2, 'porque': 2, 'esta': 2}, {'hombre': 7, 'sentido': 6, 'recto': 3, 'indulgencia': 2, 'cuanto': 1, 'llama': 1, 'hace': 1, 'diga': 1, 'tiene': 1, 'simplemente': 1}]"
Aristoteles,"Moral a Nicómaco · libro sexto, capítulo IX","[{'sentido': 3, 'son': 3, 'todas': 2, 'cosas': 2, 'prudencia': 2, 'entendimiento': 2, 'porque': 2, 'hombres': 2, 'cualidades': 1, 'acabamos': 1}, {'términos': 2, 'extremos': 2, 'cosas': 2, 'todas': 1, 'acciones': 1, 'podemos': 1, 'ejecutar': 1, 'aplican': 1, 'siempre': 1, '168': 1}, {'entendimiento': 6, 'porque': 3, 'puede': 3, 'estas': 3, 'naturaleza': 3, 'términos': 2, 'primeros': 2, 'cual': 2, 'razonamiento': 2, 'demostraciones': 2}, {'otra': 1, 'consecuencia': 1, 'esto': 1, 'preciso': 1, 'dar': 1, 'tanta': 1, 'importancia': 1, 'simples': 1, 'aserciones': 1, 'opiniones': 1}, {'he': 1, 'aquí': 1, 'teníamos': 1, 'explicar': 1, 'naturaleza': 1, 'sabiduría': 1, 'prudencia': 1, 'mostrar': 1, 'objetos': 1, 'otra': 1}]"
Aristoteles,"Moral a Nicómaco · libro sexto, capítulo X","[{'porque': 6, 'prudencia': 6, 'son': 4, 'hombre': 4, 'debe': 3, 'salud': 3, 'sería': 3, 'estas': 2, 'sabiduría': 2, 'medios': 2}, {'estudiemos': 1, 'cerca': 1, 'estas': 1, 'dos': 1, 'virtudes': 1, 'profundicemos': 1, 'cuestiones': 1, 'ahora': 1, 'hemos': 1, 'hecho': 1}, {'virtud': 4, 'alma': 3, 'porque': 3, 'salud': 3, 'hace': 3, 'son': 2, 'partes': 2, 'producir': 2, 'ninguna': 2, 'puede': 2}, {'esta': 5, 'facultad': 4, 'prudencia': 3, 'hace': 3, 'hombre': 3, 'preciso': 3, 'debe': 3, 'ser': 3, 'elección': 3, 'virtud': 3}, {'cosa': 2, 'c': 2, 'sea': 2, 'nos': 2, 'virtuoso': 2, 'decimos': 1, 'siempre': 1, 'puesto': 1, 'tal': 1, 'debemos': 1}]"
Aristoteles,"Moral a Nicómaco · libro sexto, capítulo XI","[{'virtud': 11, 'sólo': 4, 'estas': 3, 'prudencia': 3, 'dos': 3, 'naturaleza': 3, 'propiamente': 3, 'dicha': 3, 'cualidades': 3, 'nosotros': 3}, {'prudencia': 5, 'conforme': 4, 'razón': 3, 'hábito': 3, 'todas': 2, 'virtudes': 2, 'son': 2, 'especies': 2, 'diversas': 2, 'tenía': 2}, {'razón': 5, 'recta': 3, 'virtud': 2, 'moral': 2, 'eran': 2, 'todas': 2, 'especies': 2, 'preciso': 1, 'obstante': 1, 'extender': 1}, {'puede': 3, 'ser': 3, 'virtudes': 3, 'todas': 3, 'bueno': 2, 'prudencia': 2, 'posee': 2, 'respecto': 2, 'hombre': 2, 'resulta': 1}, {'esta': 4, 'virtud': 3, 'prudencia': 3, 'fin': 3, 'ella': 3, 'salud': 3, 'cierto': 2, 'nos': 2, 'alma': 2, 'hay': 2}]"
Aristoteles,"Moral a Nicómaco · libro séptimo, capítulo primero","[{'nos': 3, 'virtud': 3, 'son': 2, 'vicio': 2, 'intemperancia': 2, 'grosería': 2, 'contrario': 2, 'precede': 1, 'preciso': 1, 'tomando': 1}, {'parecía': 1, 'hijo': 1, 'dios': 1, 'mortal': 1}, {'brutal': 4, 'hombres': 3, 'virtud': 3, 'grosería': 3, 'ni': 3, 'hombre': 3, 'disposición': 2, 'vicio': 2, 'esta': 2, 'raro': 2}, {'vicio': 2, 'sólo': 2, 'sabe': 2, 'pasiones': 2, 'porque': 2, 'estas': 2, 'todas': 2, 'tarde': 1, 'diremos': 1, 'algo': 1}, {'hombre': 6, 'son': 4, 'templado': 4, 'intemperante': 4, 'sabe': 3, 'intemperancia': 3, 'domina': 2, 'cualidades': 2, 'contrario': 2, 'razón': 2}, {'estas': 1, 'son': 1, 'pues': 1, 'opiniones': 1, 'generalmente': 1, 'admitidas': 1, 'esta': 1, 'materia': 1}]"
Aristoteles,"Moral a Nicómaco · libro séptimo, capítulo II","[{'intemperante': 5, 'sólo': 5, 'hombre': 4, 'hay': 4, 'le': 4, 'esta': 4, 'posible': 3, 'intemperancia': 3, 'verdaderamente': 3, 'opinión': 3}, {'prudente': 6, 'son': 5, 'hombre': 4, 'pasiones': 4, 'hace': 4, 'temperante': 3, 'malas': 3, 'porque': 3, 'hay': 3, 'le': 3}, {'convicción': 4, 'manera': 3, 'puede': 3, 'intemperancia': 3, 'intemperante': 3, 'hace': 3, 'hombre': 3, 'resultado': 3, 'esta': 2, 'domina': 2}, {'tales': 1, 'son': 1, 'cuestiones': 1, 'diversas': 1, 'pueden': 1, 'suscitarse': 1, 'aquí': 1, 'entre': 1, 'ellas': 1, 'hay': 1}]"
Aristoteles,"Moral a Nicómaco · libro séptimo, capítulo III","[{'sabe': 4, 'intemperante': 2, 'hace': 2, 'relación': 2, 'cosas': 2, 'toda': 2, 'especie': 2, 'algunos': 2, 'son': 2, 'punto': 1}, {'intemperante': 7, 'actos': 4, 'porque': 4, 'manera': 4, 'intemperancia': 3, 'llama': 3, 'incontinente': 3, 'le': 3, 'opinión': 3, 'hombre': 2}, {'ciencia': 5, 'opinión': 4, 'hace': 3, 'aquel': 2, 'acto': 2, 'hay': 2, 'creen': 2, 'puede': 2, 'dice': 2, 'tiene': 2}, {'proposición': 4, 'puede': 3, 'general': 3, 'tal': 3, 'sustancia': 3, 'proposiciones': 2, 'son': 2, 'dos': 2, 'clases': 2, 'suceder': 2}, {'ciencia': 4, 'puede': 3, 'tiene': 3, 'manera': 2, 'ella': 2, 'estado': 2, 'esto': 2, 'pasiones': 2, 'preciso': 2, 'intemperantes': 2}, {'proposición': 4, 'obrar': 2, 'general': 2, 'necesariamente': 2, 'conclusión': 2, 'preciso': 2, 'consecuencia': 2, 'esta': 2, 'dulce': 2, 'particular': 2}, {'pensamiento': 4, 'nos': 4, 'contrario': 3, 'deseo': 3, 'tienen': 3, 'razón': 3, 'juicio': 3, 'tenemos': 2, 'espíritu': 2, 'general': 2}, {'cómo': 2, 'intemperante': 2, 'disipará': 1, 'ignorancia': 1, 'perdido': 1, 'dominio': 1, 'sí': 1, 'volverá': 1, 'ciencia': 1, 'explicación': 1}, {'ciencia': 7, 'pasión': 4, 'proposición': 2, 'ella': 2, 'está': 2, 'conozca': 2, 'esta': 2, 'verdadera': 2, 'entonces': 2, 'término': 2}, {'comete': 2, 'he': 1, 'aquí': 1, 'teníamos': 1, 'acerca': 1, 'intemperante': 1, 'cometer': 1, 'falta': 1, 'sabe': 1, 'cómo': 1}]"
